Price,Close,High,Low,Open,Volume
Ticker,DCRA11.SA,DCRA11.SA,DCRA11.SA,DCRA11.SA,DCRA11.SA
Date,,,,,
2023-03-21,6.814090728759766,6.875272181931759,6.806442864778154,6.8370335913641505,20872
2023-03-22,6.7452616691589355,6.821738853214265,6.653489485896829,6.814090988940636,44454
2023-03-23,6.760555744171143,6.798794326846198,6.7605557441711435,6.791146464443127,10866
2023-03-24,6.7987961769104,6.821739041022443,6.729966855233771,6.775852583457857,14535
2023-03-27,6.7835001945495605,6.814090922003091,6.745261602897529,6.80644305780459,27325
2023-03-28,6.7987961769104,6.8752726337307095,6.760557583829995,6.783500447942038,19177
2023-03-29,6.722319602966309,6.798796796092068,6.691728871584118,6.798796796092068,35114
2023-03-30,6.714670658111572,6.7299663860135,6.6993756595500935,6.722318522062537,13044
2023-03-31,6.73761510848999,6.791148704287238,6.707024378128628,6.7146715137135615,13683
2023-04-03,6.768205165863037,6.829386620502257,6.729966574378407,6.745261573367977,17128
2023-04-04,6.806441783905029,6.82938537220639,6.7682039287501015,6.7987946504782455,17486
2023-04-05,6.768205165863037,6.837033755326807,6.745261573367977,6.806443028007197,20185
2023-04-06,6.791148662567139,6.81409152786208,6.752910067515212,6.768205797272198,20700
2023-04-10,6.760555744171143,6.814089322312039,6.745260019365,6.798794326846198,22888
2023-04-11,6.737297058105469,6.814826667819868,6.729544688635753,6.814826667819868,23977
2023-04-12,6.745050430297852,6.783815236668537,6.706285623927166,6.737297321148278,14374
2023-04-13,6.683026313781738,6.76055591814635,6.667520836535078,6.7450497015225865,24513
2023-04-14,6.752804756164551,6.760557866711077,6.683028240000454,6.71403994280924,10757
2023-04-17,6.752804756164551,6.799322680066388,6.745051645618026,6.752804756164551,17818
2023-04-18,6.737297058105469,6.7993211895032815,6.737297058105469,6.768308754115798,30919
2023-04-19,6.799321174621582,6.799321174621582,6.752803261019325,6.79156806579168,13938
2023-04-20,6.776063442230225,6.845839959360262,6.745051738992133,6.799322774191789,13574
2023-04-24,6.86134672164917,6.86134672164917,6.776063976487327,6.783817087752474,19211
2023-04-25,6.83808708190918,6.861346414663969,6.791569895154307,6.861346414663969,17859
2023-04-26,6.752804756164551,6.845839864590907,6.745051645618026,6.830334382875173,15489
2023-04-27,6.791568756103516,6.7993218657214625,6.75280394739101,6.768309427249675,10411
2023-04-28,6.783815860748291,6.892357180696074,6.768309641022642,6.814827560822335,20833
2023-05-02,6.892357349395752,6.907862830123666,6.830333947729557,6.869098019237977,17811
2023-05-03,6.876850128173828,6.931120411886884,6.869097019249917,6.892356346021651,10560
2023-05-04,6.900108337402344,6.931120032021206,6.869096642783481,6.915614554400336,14321
2023-05-05,6.86134672164917,6.923370133015574,6.814828793435675,6.900110799220133,29931
2023-05-08,6.884603500366211,6.923368307090979,6.884603500366211,6.915615197870587,15158
2023-05-09,6.931759357452393,6.955337310692802,6.900322835970972,6.955337310692802,14917
2023-05-10,6.908182144165039,6.9553373010748585,6.884604940463025,6.931759347867053,14621
2023-05-11,6.9003214836120605,6.94747663134539,6.876744284498219,6.916040116025052,20688
2023-05-12,6.916041374206543,6.939618577609601,6.876745535530924,6.884604853167204,32233
2023-05-15,6.923900127410889,6.971054530373008,6.892463608934235,6.931758694900761,25732
2023-05-16,6.978913307189941,6.9946311904588185,6.916040275103104,6.9553361075337925,21885
2023-05-17,7.018209457397461,7.018209457397461,6.978913623187499,6.986772939930631,11997
