Nome,Data,url
GCRA,31/12/2021,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=265228&cvm=true
GRWA,30/06/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=706687&cvm=true
GRWA,31/03/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=661475&cvm=true
GRWA,31/12/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=595941&cvm=true
GRWA,30/09/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=551047&cvm=true
GRWA,30/06/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=506865&cvm=true
GRWA,31/12/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=490096&cvm=true
GRWA,31/03/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=489545&cvm=true
HGAG,30/06/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=718466&cvm=true
HGAG,31/03/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=663519&cvm=true
HGAG,31/12/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=603202&cvm=true
HGAG,30/09/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=552346&cvm=true
HGAG,30/06/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=507654&cvm=true
HGAG,31/03/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=462628&cvm=true
HGAG,31/12/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=416600&cvm=true
HGAG,30/09/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=378816&cvm=true
HGAG,30/06/2022,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=338998&cvm=true
IAAG,30/06/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=716434&cvm=true
IAAG,31/03/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=654588&cvm=true
IAAG,31/12/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=599930&cvm=true
IAAG,30/09/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=550022&cvm=true
IAAG,30/06/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=509900&cvm=true
IAAG,31/03/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=504527&cvm=true
IAGR,30/06/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=706684&cvm=true
IAGR,31/03/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=661449&cvm=true
IAGR,31/12/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=595938&cvm=true
IAGR,30/09/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=549895&cvm=true
IAGR,30/06/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=506817&cvm=true
JGPX,30/06/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=717720&cvm=true
JGPX,31/03/2024,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=661433&cvm=true
JGPX,31/12/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=599903&cvm=true
JGPX,30/09/2023,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=551064&cvm=true
